epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8254,3.35403,9.63066,1.89271,0,0,0,0,nan,nan,nan,0.00328889,0.00328889,0.0704
2,73.3225,3.32378,4.04471,1.80378,0,0,0,0,nan,nan,nan,0.00655666,0.00655666,0.0403344
3,100.784,3.03102,3.82866,1.70285,0,0,0,0,nan,nan,nan,0.00975844,0.00975844,0.0102029
4,128.427,2.75468,3.43572,1.55146,0,0,0,0,nan,nan,nan,0.009703,0.009703,0.009703
5,156.7,2.61466,3.19476,1.50227,0.13264,0.09524,0.04706,0.02178,2.57723,3.30801,1.71754,0.009604,0.009604,0.009604
6,187.85,2.71556,3.16052,1.50191,0.00614,0.14286,0.01041,0.00344,nan,nan,nan,0.009505,0.009505,0.009505
7,215.218,2.56415,2.72656,1.46926,0.28951,0.35714,0.27114,0.10773,2.4674,2.35882,1.47757,0.009406,0.009406,0.009406
8,247.446,2.55663,2.75716,1.48146,0.20442,0.30952,0.15606,0.0598,2.85848,2.69557,1.65789,0.009307,0.009307,0.009307
9,274.79,2.55981,2.86513,1.47863,0.21924,0.2619,0.13429,0.05283,2.51026,2.84349,1.4779,0.009208,0.009208,0.009208
10,302.075,2.36641,2.59,1.38209,0.20507,0.11905,0.1067,0.04397,2.65353,3.51999,1.54339,0.009109,0.009109,0.009109
11,329.775,2.33503,2.7,1.36012,0.54697,0.38095,0.36508,0.16109,2.31635,2.90649,1.52589,0.00901,0.00901,0.00901
12,358.118,2.33585,2.55426,1.36904,0.41595,0.38095,0.32514,0.15513,2.33774,2.19592,1.36108,0.008911,0.008911,0.008911
13,385.593,2.1965,2.4706,1.29954,0.44285,0.33333,0.30731,0.11529,2.38567,2.61208,1.41581,0.008812,0.008812,0.008812
14,413.034,2.32487,2.56213,1.34572,0.50829,0.17259,0.25879,0.10252,2.3852,2.83677,1.3834,0.008713,0.008713,0.008713
15,440.562,2.24659,2.60419,1.37344,0.3055,0.3771,0.30124,0.13601,2.21293,2.25141,1.34525,0.008614,0.008614,0.008614
16,468.316,2.32977,2.5265,1.36854,0.5957,0.47619,0.43834,0.18401,2.11027,1.95067,1.30033,0.008515,0.008515,0.008515
17,496.085,2.19834,2.50451,1.33204,0.62299,0.40476,0.44971,0.18889,2.10401,1.8361,1.26501,0.008416,0.008416,0.008416
18,523.776,2.24542,2.53719,1.32594,0.40158,0.30952,0.31827,0.12032,2.20405,2.37489,1.37796,0.008317,0.008317,0.008317
19,551.329,2.1923,2.52341,1.35709,0.62933,0.35714,0.4001,0.18881,2.15526,2.10334,1.40351,0.008218,0.008218,0.008218
20,579.747,2.23585,2.63829,1.38634,0.5304,0.45727,0.41703,0.19203,1.97542,1.94056,1.25138,0.008119,0.008119,0.008119
21,612.381,2.16568,2.42889,1.34318,0.31025,0.14286,0.11442,0.03983,2.89088,3.7176,1.61876,0.00802,0.00802,0.00802
22,640.37,2.1766,2.441,1.2884,0.48869,0.38095,0.32208,0.18222,nan,nan,nan,0.007921,0.007921,0.007921
23,667.92,2.18818,2.31129,1.34475,0.50528,0.46218,0.43834,0.18884,2.07321,1.88705,1.30544,0.007822,0.007822,0.007822
24,695.403,2.17157,2.31905,1.33182,0.48487,0.14286,0.14116,0.05614,2.53339,3.12275,1.49013,0.007723,0.007723,0.007723
25,722.904,2.0954,2.2695,1.27757,0.52973,0.40476,0.34976,0.1678,1.98732,2.27304,1.25502,0.007624,0.007624,0.007624
26,750.854,2.16757,2.30492,1.28452,0.75984,0.37682,0.42233,0.18433,2.26592,2.26301,1.35587,0.007525,0.007525,0.007525
27,778.44,2.31293,2.35408,1.44118,0.62038,0.3893,0.47549,0.21345,2.2027,2.08984,1.34062,0.007426,0.007426,0.007426
28,808.918,2.07704,2.28289,1.26652,0.40947,0.35714,0.36855,0.16375,2.09681,2.07634,1.3011,0.007327,0.007327,0.007327
29,836.984,2.0401,2.10917,1.27129,0.81991,0.52381,0.6044,0.31577,1.85422,1.88802,1.22013,0.007228,0.007228,0.007228
30,868.289,1.99279,2.04416,1.26372,0.62951,0.3643,0.45586,0.21517,2.2321,1.91976,1.3419,0.007129,0.007129,0.007129
31,898.199,1.98702,2.10637,1.23765,0.58289,0.46598,0.52133,0.28215,1.86598,1.8206,1.21388,0.00703,0.00703,0.00703
32,926.565,1.97302,2.10234,1.26243,0.71208,0.42857,0.57333,0.31115,1.86651,1.59888,1.19696,0.006931,0.006931,0.006931
33,954.746,2.06754,2.28374,1.26121,0.76815,0.47341,0.57379,0.29163,1.86873,1.64936,1.19905,0.006832,0.006832,0.006832
34,985.57,2.08818,2.10666,1.26163,0.60285,0.54762,0.53851,0.27002,1.96449,1.73221,1.22222,0.006733,0.006733,0.006733
35,1014.02,1.97149,2.06081,1.21266,0.53099,0.43136,0.51487,0.26629,1.98087,1.70792,1.22529,0.006634,0.006634,0.006634
36,1045.65,2.12164,2.19046,1.26803,0.66343,0.54762,0.56811,0.22626,1.91849,1.83641,1.20745,0.006535,0.006535,0.006535
37,1073.54,2.09263,2.20304,1.27569,0.63426,0.45238,0.47842,0.19526,2.02599,1.65106,1.26959,0.006436,0.006436,0.006436
38,1100.93,2.06071,2.1042,1.2383,0.62964,0.5,0.528,0.23466,2.28129,1.73958,1.37109,0.006337,0.006337,0.006337
39,1131.27,2.01332,1.9807,1.24571,0.65887,0.5,0.57107,0.25485,1.85439,1.57007,1.24369,0.006238,0.006238,0.006238
40,1159.8,1.97909,2.08218,1.28252,0.78068,0.5,0.57748,0.23593,1.92766,1.75863,1.24418,0.006139,0.006139,0.006139
